id,accX,accY,accZ,gyroX,gyroY,gyroZ,timestamp
01c8bcfd-0901-4f8c-9581-0323962d23bb,-3.33,-0.17,0.88,,,,2024-03-22 16:03:53.437
01c97048-a99f-4fd7-aafa-1d5337fc0190,0.02,-0.37,0.28,,,,2024-03-22 16:03:36.868
01cbf22e-801b-4b4c-b04b-14ebcfec6b85,-0.63,0.71,-0.19,,,,2024-03-22 16:04:56.751
01cd004b-7b37-4fb4-b0d6-e847e4de30ea,0.49,0.09,0.62,,,,2024-03-22 16:00:47.135
01cd7102-5ccb-49ea-b42c-03823d8fff7b,5.63,1.16,-11.45,,,,2024-03-22 16:02:52.057
01cf10b4-df7e-4599-91fe-ac3d239eb575,-0.78,0.54,0.02,,,,2024-03-22 16:04:04.460
01cfe162-5c15-41e6-b242-1502144de1e9,0.27,0.43,-0.66,,,,2024-03-22 16:03:20.397
01d25549-6885-447b-8b48-394cd690e19f,-0.18,0.96,-0.01,,,,2024-03-22 16:00:30.761
01d4a70b-fae6-44b0-9ec8-478f3cd7b830,-2.43,-1.06,4.9,,,,2024-03-22 16:03:37.106
01d4d6e1-0e12-472f-8bdf-873f83748fdc,0.8,-0.38,-0.44,,,,2024-03-22 16:03:00.606
01d546aa-9a30-45ac-897e-230f889454be,4.58,15.97,6.68,,,,2024-03-22 15:59:50.246
01d6ae04-5026-48b8-bfb8-3a014b81e3c3,0.79,0.54,0.78,,,,2024-03-22 16:00:47.401
01d7af28-8d06-4c6d-8705-ce4856817cae,0.43,-0.34,-0.59,,,,2024-03-22 16:03:11.273
01d7df21-60bb-4c79-81a4-5206747f60cb,0.02,-0.01,1.01,,,,2024-03-22 16:01:29.553
01db2545-aa01-4cd9-947a-298d561904ee,1.82,-0.58,14.64,,,,2024-03-22 15:59:57.738
01df9485-a93f-44d5-8d3e-28446995fb37,0.33,3.42,0.05,,,,2024-03-22 16:05:40.940
01e7a587-3bb7-4fc0-a4d7-1b7c42f3cf53,0.57,0.53,0.18,,,,2024-03-22 16:00:01.504
01eb2dea-246f-48f3-8663-1ccaeed8ba3f,-0.74,-1.23,-9.99,,,,2024-03-22 16:02:44.726
01ec93bb-2692-42d5-b27b-549cb08215bd,-0.19,-0.09,0.26,,,,2024-03-22 16:05:06.196
01ed7c36-e440-4e55-b759-14bd97aabe5e,4.57,-2.99,-0.89,,,,2024-03-22 16:02:52.145
